backbone,gate_type,weight_init,rho,n,seed,activation,empirical_shift,bound_total,bound_bias,bound_sampling,sound,L_phi,max_MAD,max_IQR,delta_i,gate_dim,n_gates,extract_sec
mobilenet_v2,sep_tar,pretrained,0.05,400,1,relu,0.0,0.0015431187219089933,0.0015431187219089933,0.0,True,1.0,0.00232049822807312,0.004623536020517349,0.00038577968047724833,1,1,6.04
mobilenet_v2,sep_tar,pretrained,0.1,400,0,relu,0.0,0.0034720171242952347,0.0034720171242952347,0.0,True,1.0,0.00232049822807312,0.004623536020517349,0.0008680042810738087,1,1,6.04
mobilenet_v2,sep_tar,pretrained,0.1,400,1,relu,0.0,0.0034720171242952347,0.0034720171242952347,0.0,True,1.0,0.00232049822807312,0.004623536020517349,0.0008680042810738087,1,1,6.04
mobilenet_v2,sep_tar,pretrained,0.2,400,0,relu,0.0,0.00925871233145396,0.00925871233145396,0.0,True,1.0,0.00232049822807312,0.004623536020517349,0.00231467808286349,1,1,6.04
mobilenet_v2,sep_tar,pretrained,0.2,400,1,relu,0.0,0.00925871233145396,0.00925871233145396,0.0,True,1.0,0.00232049822807312,0.004623536020517349,0.00231467808286349,1,1,6.04
mobilenet_v2,sha_un,pretrained,0.0,400,0,relu,0.0,0.0,0.0,0.0,True,1.0,0.0005699023604393005,0.00113745778799057,0.0,2,2,6.31
mobilenet_v2,sha_un,pretrained,0.0,400,1,relu,0.0,0.0,0.0,0.0,True,1.0,0.0005699023604393005,0.00113745778799057,0.0,2,2,6.31
mobilenet_v2,sha_un,pretrained,0.05,400,0,relu,0.0,0.000379413366317749,0.000379413366317749,0.0,True,1.0,0.0005699023604393005,0.00113745778799057,9.485334157943726e-05,2,2,6.31
mobilenet_v2,sha_un,pretrained,0.05,400,1,relu,0.0,0.000379413366317749,0.000379413366317749,0.0,True,1.0,0.0005699023604393005,0.00113745778799057,9.485334157943726e-05,2,2,6.31
mobilenet_v2,sha_un,pretrained,0.1,400,0,relu,0.0,0.0008536800742149353,0.0008536800742149353,0.0,True,1.0,0.0005699023604393005,0.00113745778799057,0.00021342001855373383,2,2,6.31
mobilenet_v2,sha_un,pretrained,0.1,400,1,relu,0.0,0.0008536800742149353,0.0008536800742149353,0.0,True,1.0,0.0005699023604393005,0.00113745778799057,0.00021342001855373383,2,2,6.31
mobilenet_v2,sha_un,pretrained,0.2,400,0,relu,0.0,0.0022764801979064946,0.0022764801979064946,0.0,True,1.0,0.0005699023604393005,0.00113745778799057,0.0005691200494766236,2,2,6.31
mobilenet_v2,sha_un,pretrained,0.2,400,1,relu,0.0,0.0022764801979064946,0.0022764801979064946,0.0,True,1.0,0.0005699023604393005,0.00113745778799057,0.0005691200494766236,2,2,6.31
mobilenet_v2,int_un,pretrained,0.0,400,0,relu,0.0,0.0,0.0,0.0,True,1.0,0.002459786832332611,0.004907157272100449,0.0,3,3,6.39
mobilenet_v2,int_un,pretrained,0.0,400,1,relu,0.0,0.0,0.0,0.0,True,1.0,0.002459786832332611,0.004907157272100449,0.0,3,3,6.39
mobilenet_v2,int_un,pretrained,0.05,400,0,relu,0.0,0.0016370986898740134,0.0016370986898740134,0.0,True,1.0,0.002459786832332611,0.004907157272100449,0.00040927467246850335,3,3,6.39
mobilenet_v2,int_un,pretrained,0.05,400,1,relu,0.0,0.0016370986898740134,0.0016370986898740134,0.0,True,1.0,0.002459786832332611,0.004907157272100449,0.00040927467246850335,3,3,6.39
mobilenet_v2,int_un,pretrained,0.1,400,0,relu,0.0,0.00368347205221653,0.00368347205221653,0.0,True,1.0,0.002459786832332611,0.004907157272100449,0.0009208680130541325,3,3,6.39
mobilenet_v2,int_un,pretrained,0.1,400,1,relu,0.0,0.00368347205221653,0.00368347205221653,0.0,True,1.0,0.002459786832332611,0.004907157272100449,0.0009208680130541325,3,3,6.39
mobilenet_v2,int_un,pretrained,0.2,400,0,relu,0.0,0.009822592139244081,0.009822592139244081,0.0,True,1.0,0.002459786832332611,0.004907157272100449,0.0024556480348110203,3,3,6.39
mobilenet_v2,int_un,pretrained,0.2,400,1,relu,0.0,0.009822592139244081,0.009822592139244081,0.0,True,1.0,0.002459786832332611,0.004907157272100449,0.0024556480348110203,3,3,6.39
efficientnet_b0,sep_tar,pretrained,0.0,400,0,relu,0.0,0.0,0.0,0.0,True,1.0,0.0010579228401184082,0.0021060556173324585,0.0,1,1,7.18
efficientnet_b0,sep_tar,pretrained,0.0,400,1,relu,0.0,0.0,0.0,0.0,True,1.0,0.0010579228401184082,0.0021060556173324585,0.0,1,1,7.18
